호선,역사명,기기명,호기,형식,규격,운행구간,"설치위치
(승차위치기준)","정지
층수",설치일자
3,옥수,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),4-5번출구 사이,2,2015-10-08
3,압구정,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),상행 8-2,2,2004-05-21
3,압구정,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),하행 3-2,2,2004-05-21
3,압구정,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2004-09-21
3,압구정,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2015-05-01
3,신사,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),상행 3-1,2,2004-08-20
3,신사,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 8-3,2,2004-08-20
3,신사,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2005-02-04
3,신사,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,8번 출구측,2,2015-01-09
3,잠원,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),상행 3-3,2,2004-08-17
3,잠원,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),하행 8-2,2,2004-08-17
3,잠원,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-08-17
3,고속터미널,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),상행 8-2,2,2004-04-08
3,고속터미널,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),하행 3-3,2,2004-04-08
3,교대(3),E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대)~B1(대),섬식(상) 4-2,3,2003-07-15
3,남부터미널,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),상행 3-2,2,2004-04-17
3,남부터미널,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),하행 8-2,2,2004-04-17
3,남부터미널,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,5번 출구측,2,2005-04-29
3,양재,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),상행 3-1,2,2000-11-01
3,양재,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),하행 8-4,2,2000-11-01
3,양재,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2000-11-01
3,양재,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,11번 출구측,2,2000-11-01
3,매봉,E/V,내부#1,로프식(MRL),13인승,B2(승)~B1(대),상행 5-4,2,2004-04-29
3,매봉,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 6-1,2,2004-04-29
3,매봉,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-07-30
3,대치,E/V,내부#1,로프식(MRL),15인승,B4(승)~B2(대)~B1(대),섬식(상) 1-1,3,2004-05-12
3,대치,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,7번 출구측,2,2005-03-16
3,학여울,E/V,내부#1,로프식(MRL),15인승,B5(승)~B4(대),상행 5-4,2,2004-04-29
3,학여울,E/V,내부#2,로프식(MRL),15인승,B5(승)~B4(대),하행 6-1,2,2004-04-29
3,학여울,E/V,외부#1,로프식(일반),15인승,B4(대)~B2(대)~B1(대)~지상,1번 출구측,4,1993-06-01
3,대청,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),상행 4-4,2,2004-06-10
3,대청,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),하행 7-1,2,2004-06-10
3,대청,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,8번 출구측,2,2004-06-10
3,일원,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),상행 6-3,2,2004-06-09
3,일원,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),하행 5-2,2,2004-06-09
3,일원,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,1번 출구측,2,2004-06-09
3,수서,E/V,내부#1,로프식(MRL),9인승,B2(승)~B1(대),상행 8-3,2,2003-06-30
3,수서,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 3-2,2,2003-06-30
